country,tenor_years,window,n_months,r_local_ann,yield_rolldown_ann,carry_rolldown_ann,price_return_ann,r_short_ann,diff_bp,diff_carry_bp,flagged,mean_duration,mean_dy_ann,trend_bp,trend_residual_bp,trend_linearisation_bp,coupon_vs_zero_bp,linear_exact_bp,convexity_bp,accounting_sum_bp,accounting_gap_bp,r_local_sd_monthly,half_var_ann_bp,annualisation
CA,20.0,strategy,348,0.0522781242527936,0.03977149850032642,0.016172360569291937,0.015325111829725478,0.02359913793103449,125.0662575246718,361.05763683501664,True,14.216934539642342,-0.001015466909101485,144.36826573868754,-19.302008214015743,-47.40283356051228,-15.09180152659927,96.96543217817526,46.77102795371142,128.64465860528742,-3.5784010806156203,0.025219625911121604,38.16177186581497,arithmetic: mean x 12
CA,30.0,strategy,348,0.05135643337224584,0.03267064826665579,0.009071510335621308,0.014976467615630647,0.02359913793103449,186.85785105590048,422.8492303662453,True,18.55820301521784,-0.0009139969157926095,169.6214031856221,17.23644787027837,-51.766137365455876,-4.839481883153671,117.85526582016624,76.96177160675393,189.9775555437665,-3.1197044878660165,0.03144365536624855,59.322207767484684,arithmetic: mean x 12
DE,1.0,strategy,348,0.016682185920857268,0.016767785729352152,-0.0014017545005329023,0.0008440722700363296,0.01816954022988506,-0.8559980849488433,180.8394042139017,False,0.9847194599653064,-0.0002639663480932869,2.5993279974343557,-3.4553260823831993,-0.24620413910679861,-3.568637430880359e-15,2.353123858327557,0.35643100486770213,2.7095548631952555,-3.5655529481440986,0.0022508886498255826,0.30398998283481804,arithmetic: mean x 12
DE,2.0,strategy,348,0.019003713822398485,0.018662948896426487,0.0004934086665414339,0.002213719687903221,0.01816954022988506,3.4076492597199732,185.1030515585705,False,1.9519873813670061,-0.000367970647716833,7.182740610567019,-3.775091350847046,-1.2217223720168189,-0.10956315050428156,5.9610182385502,1.3661580195506278,7.217613107596547,-3.8099638478765736,0.004129033112419076,1.0229348666071896,arithmetic: mean x 12
DE,3.0,strategy,348,0.022340745454527973,0.021384441620432373,0.0032149013905473155,0.0043913353119603826,0.01816954022988506,9.563038340956002,191.25844063980657,False,2.8985846758635634,-0.0004901649063870645,14.207844862996433,-4.644806522040431,-2.9282795580743084,-0.3453711549744653,11.279565304922125,2.8899184538244076,13.824112603772067,-4.261074262816065,0.006118688885243778,2.246301220464345,arithmetic: mean x 12
DE,5.0,strategy,348,0.029348267598719866,0.026841412418021734,0.008671872188136677,0.008835587998051554,0.01816954022988506,25.068551806981322,206.76395410583189,False,4.717223455693308,-0.0006833553519234589,32.23539894666895,-7.166847139687629,-7.8535167052339965,-1.2228569259263873,24.381882241434955,6.810107446112877,29.969132761621445,-4.900580954640123,0.00966713121537743,5.6072055561194825,arithmetic: mean x 12
DE,7.0,strategy,348,0.03545816739784512,0.031350632158297934,0.013181091928412873,0.012528828928025036,0.01816954022988506,41.07535239547183,222.77075469432242,False,6.424304250399682,-0.0007968888334355477,51.19456319736033,-10.1192108018885,-14.072029772550792,-2.5480920697630105,37.12253342480954,11.817629523161488,46.39207087820802,-5.316718482736185,0.012894460777450729,9.976027124472918,arithmetic: mean x 12
DE,10.0,strategy,348,0.04181340370635715,0.03553388523458856,0.017364345004703505,0.0159855326650856,0.01816954022988506,62.79518471768594,244.49058701653647,True,8.77335048397857,-0.0008819487761018807,77.37645721657742,-14.58127249889148,-25.200878082569858,-5.034126207755035,52.17557913400756,21.3329817757399,68.47443470199242,-5.67924998430648,0.0174462907729821,18.262383704126425,arithmetic: mean x 12
DE,20.0,strategy,348,0.051530350561110896,0.03915123968881003,0.02098169945892497,0.02133815659513105,0.01816954022988506,123.79110872300869,305.48651102185926,True,15.162317787627561,-0.0009676922961069752,146.72458114212947,-22.933472419120775,-71.5548534777203,-12.492071635870678,75.16972766440917,67.13059433560417,129.80825036414265,-6.017141641133961,0.030789830696278137,56.88082045832829,arithmetic: mean x 12
DE,30.0,strategy,348,0.05343948885026914,0.034386946466142015,0.016217406236256955,0.022359125034521643,0.01816954022988506,190.52542384127125,372.22082614012186,True,20.137864850211376,-0.0009946878978961443,200.3089045597341,-9.78348071846284,-116.74474021319433,-13.772461010487877,83.56416434653976,126.25053877462395,196.04224211067583,-5.516818269404581,0.041705981297399504,104.36333255874223,arithmetic: mean x 12
FR,1.0,strategy,261,0.010363569732852903,0.010798160919540228,-0.0029796168582375496,-0.00043459118668732555,0.01377777777777778,-4.3459118668732515,133.43186591090452,False,0.9895755092113551,0.0003098850574712629,-3.06654663544115,-1.2793652314321013,-0.1314202216782232,-6.921135420047551e-15,-3.1979668571193733,0.3526989767181174,-2.845267880401263,-1.5006439864719883,0.002117671950136488,0.26907206930369254,arithmetic: mean x 12
FR,2.0,strategy,261,0.012356417127492816,0.013112260656095333,-0.0006655171216824443,0.0007851144455004793,0.01377777777777778,-7.558435286025167,130.2193424917526,False,1.9667760928956604,0.00030829538184870775,-6.063479865701772,-1.4949554203233957,-0.636311827247547,-0.018328882994560824,-6.699791692949319,1.3301531409319816,-5.387967435011897,-2.17046785101327,0.00395131867329604,0.9367751554762788,arithmetic: mean x 12
