rank,sign,date,r_net,country,tenor_years,leg,wd,r_bucket,contribution
1,loss,1998-11-30,-0.053032941896934624,DE,10.0,long,0.8333333333333334,0.009842738525107449,0.0010175991119861945
1,loss,1998-11-30,-0.053032941896934624,DE,30.0,long,0.8333333333333334,0.00789800032778157,0.0004226282833483224
1,loss,1998-11-30,-0.053032941896934624,DE,20.0,long,0.8333333333333334,0.006092154423436276,0.00039533685603774713
1,loss,1998-11-30,-0.053032941896934624,JP,3.0,long,0.8333333333333334,-0.015965392771320332,-0.0044735609782076136
1,loss,1998-11-30,-0.053032941896934624,JP,5.0,long,0.8333333333333334,-0.0360106051640546,-0.006124913840586538
1,loss,1998-11-30,-0.053032941896934624,JP,20.0,long,0.8333333333333334,-0.13756003789575674,-0.006863076988612879
1,loss,1998-11-30,-0.053032941896934624,JP,7.0,long,0.8333333333333334,-0.05811144505588036,-0.007174694187614695
1,loss,1998-11-30,-0.053032941896934624,JP,10.0,long,0.8333333333333334,-0.08755024931181785,-0.007737988006002807
2,loss,2020-02-29,-0.042292516640481635,US,7.0,long,1.25,0.032742611146948306,0.006075244433597644
2,loss,2020-02-29,-0.042292516640481635,US,20.0,long,1.25,0.0572447043280294,0.00413848848361824
2,loss,2020-02-29,-0.042292516640481635,US,30.0,long,1.25,0.0769373697270924,0.004077271689835495
2,loss,2020-02-29,-0.042292516640481635,GB,30.0,long,1.25,0.0325805186686846,0.0015634037510639449
2,loss,2020-02-29,-0.042292516640481635,GB,20.0,long,1.25,0.014925995458220917,0.0010232086380603238
2,loss,2020-02-29,-0.042292516640481635,CA,3.0,short,-1.25,0.01620633041511322,-0.006883724167815676
2,loss,2020-02-29,-0.042292516640481635,US,2.0,short,-1.25,0.011504216559928494,-0.007267595129835234
2,loss,2020-02-29,-0.042292516640481635,CA,2.0,short,-1.25,0.013045732192074283,-0.008271811117779826
2,loss,2020-02-29,-0.042292516640481635,US,1.0,short,-1.25,0.00680962970868958,-0.008574012141031364
2,loss,2020-02-29,-0.042292516640481635,CA,1.0,short,-1.25,0.00877190842418663,-0.011076445096323205
3,loss,2021-09-30,-0.036429511595000824,FR,20.0,short,-1.1111111111111112,-0.004915336093807565,0.00028941487849459764
3,loss,2021-09-30,-0.036429511595000824,CA,30.0,short,-1.1111111111111112,-0.004029791602301403,0.00019914565396380614
