date,country,leg,carry_earned,yield_change_pnl,hedge,cost,total
2022-10-31,CA,short,0.00021410525901842555,-0.006607260714626419,0.0,-4.701674086232526e-05,-0.006440172196470318
2022-10-31,DE,long,0.0010761864473693282,-0.0036085616309536874,0.0,-0.00013825904184994276,-0.002670634225434302
2022-10-31,DE,short,-0.0002625106584124423,-0.007556168704501464,0.0,-2.310428155656168e-05,-0.007841783644470468
2022-10-31,FR,long,0.001284242546525112,-0.0028591669568974335,0.0,-0.00015616625161577507,-0.0017310906619880965
2022-10-31,FR,short,-0.00046459309612614986,-0.006352916314411935,0.0,-2.1778109591398253e-05,-0.006839287520129483
2022-10-31,GB,long,0.0010237753977739134,0.008449867096256908,0.0,-7.11202609674569e-05,0.009402522233063365
2022-10-31,GB,short,-0.001034040741853057,-0.0012531593837501022,0.0,-7.680057551788547e-05,-0.002364000701121045
2022-10-31,JP,short,-9.696004254165813e-06,8.257938848871338e-05,0.0,-3.1736065353204017e-06,6.970977769922717e-05
2022-10-31,US,long,0.0008221084532487569,0.0011368309821940105,0.0,-6.023637837284071e-05,0.001898703057069927
2022-10-31,US,short,-3.385011623288564e-05,-0.0030763891757736436,0.0,-5.699414323934201e-06,-0.0031159387063304633
2022-11-30,ALL,both,0.0016170312678731127,0.012369910082637346,0.0,-0.0011214285714285714,0.012865512779081887
2022-11-30,CA,long,5.9430497325846485e-06,-0.002918240057731997,0.0,-0.00014994410275981547,-0.0030622411107592276
2022-11-30,CA,short,0.00038407806351597264,0.012457552222007152,0.0,-7.035335562974124e-05,0.012771276929893384
2022-11-30,DE,long,0.0004170086815504703,-0.012606647110310032,0.0,-0.0001924052664953881,-0.01238204369525495
2022-11-30,DE,short,3.6838196161917115e-05,0.015090042788687565,0.0,-5.1328626639179735e-05,0.015075552358210302
2022-11-30,FR,long,0.0001502170318749884,-0.012345846594071539,0.0,-0.00017032044725367676,-0.012365950009450228
2022-11-30,FR,short,-0.00014754341737941438,0.009872451468183302,0.0,-2.2745645579420678e-05,0.009702162405224467
2022-11-30,GB,long,0.0003796543063852429,-0.008361001245318125,0.0,-0.00020946620338139113,-0.008190813142314273
2022-11-30,GB,short,-9.047786120617694e-05,0.007556801157558167,0.0,-2.3626480008512752e-05,0.007442696816343478
2022-11-30,JP,long,0.00010343890358317586,-0.00163401448832324,0.0,-1.0506374244965126e-05,-0.0015410819589850291
2022-11-30,US,long,0.0001552054748970049,-0.000917746057355704,0.0,-0.0001538229187783147,-0.0009163635012370138
2022-11-30,US,short,0.0002226688387573473,0.006176557999311801,0.0,-6.690915065816551e-05,0.006332317687410983
2022-12-31,ALL,both,0.0017122883165680192,-0.017164575728497306,0.0,-0.001392857142857143,-0.016845144554786428
2022-12-31,CA,long,0.00026078557716261325,0.00020107364143391403,0.0,-7.219071772328742e-05,0.0003896685008732399
2022-12-31,CA,short,0.0004623733789462173,-0.00793786821559855,0.0,-0.00010458146517038457,-0.007580076301822717
2022-12-31,DE,long,0.00027557252915173623,-0.0010119768995836167,0.0,-0.00010755350398775464,-0.0008439578744196351
2022-12-31,DE,short,1.885242909422167e-05,-0.001470446851038757,0.0,-1.827501126293217e-05,-0.0014698694332074675
2022-12-31,FR,long,0.00043243592644559727,0.0018358914893833612,0.0,-0.00035190379838398683,0.0019164236174449719
2022-12-31,FR,short,-0.00019443726112122558,-0.003838798038462741,0.0,-4.0887666047337654e-05,-0.004074122965631304
2022-12-31,GB,long,0.00016306939307953974,0.0077242273780361494,0.0,-5.8936762074363764e-05,0.007828360009041324
2022-12-31,GB,short,-0.00015706379416924215,-0.004349052914334054,0.0,-0.00018214125709333529,-0.004688257965596632
2022-12-31,JP,long,0.00022217665642577708,-0.001277475123738984,0.0,-7.385329084645006e-05,-0.001129151758159657
2022-12-31,JP,short,-0.00013671746204840912,-0.0008108319705241071,0.0,-0.0002091330188077645,-0.0011566824513802808
2022-12-31,US,long,8.485917055306881e-05,9.705042418018025e-05,0.0,-7.21665735357767e-05,0.00010974302119747236
2022-12-31,US,short,0.00028038177304812455,-0.006326368648250102,0.0,-0.00010123407792376942,-0.006147220953125747
