country,decade,tenor_years,n_months,sd_bp
JP,2010s,7.0,120,6.624152602974411
JP,2010s,10.0,120,6.7637532661409905
JP,2010s,20.0,120,8.353793080560507
JP,2020s,1.0,80,5.652854884457093
JP,2020s,2.0,80,6.421157046392171
JP,2020s,3.0,80,7.237909223716681
JP,2020s,5.0,80,8.537770814848814
JP,2020s,7.0,80,9.874489859975782
JP,2020s,10.0,80,9.64890504169748
JP,2020s,20.0,80,11.166276906554835
JP,full,1.0,476,16.96550317007795
JP,full,2.0,476,17.586993720746978
JP,full,3.0,476,18.34670092636881
JP,full,5.0,476,19.054897269009153
JP,full,7.0,476,19.99039087652274
JP,full,10.0,476,20.45317300477403
JP,full,20.0,476,17.950890570652934
US,1960s,1.0,95,24.67323520990124
US,1960s,2.0,95,23.78773999070041
US,1960s,3.0,95,24.600078214583547
US,1960s,5.0,95,22.05987876991004
US,1960s,7.0,95,19.854330278582744
US,1960s,10.0,95,18.156391524348976
US,1970s,1.0,120,57.21699431214355
US,1970s,2.0,120,49.813491061718246
US,1970s,3.0,120,45.9661047890201
US,1970s,5.0,120,39.20756422077973
US,1970s,7.0,120,32.4575081805597
US,1970s,10.0,120,28.209313843560615
US,1980s,1.0,120,97.46833186675303
US,1980s,2.0,120,84.3750038619572
US,1980s,3.0,120,74.77931083215881
US,1980s,5.0,120,68.36786934365527
US,1980s,7.0,120,62.48986992637764
US,1980s,10.0,120,53.8437675855788
US,1990s,1.0,120,25.906184466896033
US,1990s,2.0,120,29.94156189085259
US,1990s,3.0,120,31.186092073837674
US,1990s,5.0,120,30.76164285684399
US,1990s,7.0,120,29.3464536037939
US,1990s,10.0,120,28.3732129278145
US,2000s,1.0,120,26.603543378586167
US,2000s,2.0,120,30.22270593494917
US,2000s,3.0,120,31.953410136318194
US,2000s,5.0,120,32.40216170266079
US,2000s,7.0,120,31.79709582822999
US,2000s,10.0,120,31.02679321263141
US,2010s,1.0,120,8.435448605158763
US,2010s,2.0,120,12.544535532440124
US,2010s,3.0,120,15.852196067150386
US,2010s,5.0,120,20.38112090949404
US,2010s,7.0,120,22.011593808855086
US,2010s,10.0,120,22.243898130757387
US,2020s,1.0,80,25.303965334942372
US,2020s,2.0,80,29.343744975283247
US,2020s,3.0,80,29.612122166069764
US,2020s,5.0,80,29.431328776996562
US,2020s,7.0,80,28.44290229045682
US,2020s,10.0,80,26.832585966326647
US,full,1.0,775,48.35253426991032
US,full,2.0,775,44.10457653562825
US,full,3.0,775,41.24396021035603
US,full,5.0,775,38.47289873412896
US,full,7.0,775,35.51485629821233
US,full,10.0,775,32.17991683462623
