variant,window,piece,cumulative,share
overlay_hedged,2000s,fx,0.0,-0.0
overlay_hedged,2000s,cost,-0.0238,1.7614947230644082
overlay_hedged,2000s,r_net,-0.013511252510933446,1.0
overlay_hedged,2010s,carry_earned,-0.0019935742725743985,0.04557451276430653
overlay_hedged,2010s,yield_change_pnl,-0.021549609179202282,0.49263925207818915
overlay_hedged,2010s,funding,0.0,-0.0
overlay_hedged,2010s,fx,0.0,-0.0
overlay_hedged,2010s,cost,-0.020200000000000003,0.4617862351575045
overlay_hedged,2010s,r_net,-0.04374318345177668,1.0
overlay_hedged,2020s,carry_earned,0.02050190328975393,-0.36019237647487046
overlay_hedged,2020s,yield_change_pnl,-0.05442121815810814,0.9561116166625725
overlay_hedged,2020s,funding,0.0,-0.0
overlay_hedged,2020s,fx,0.0,-0.0
overlay_hedged,2020s,cost,-0.023000000000000003,0.4040807598122981
overlay_hedged,2020s,r_net,-0.05691931486835421,1.0
overlay_unhedged,full,carry_earned,-0.10502752414401892,-0.20228535378302984
overlay_unhedged,full,yield_change_pnl,-0.036241682600775094,-0.06980228893653835
overlay_unhedged,full,funding,0.08960138969878179,0.17257427481405005
overlay_unhedged,full,fx,0.6430726046386466,1.238572178080912
overlay_unhedged,full,cost,-0.07220000000000001,-0.1390588101753942
overlay_unhedged,full,r_net,0.5192047875926344,1.0
overlay_unhedged,six,carry_earned,-0.05018298420779026,-0.12710919633647802
overlay_unhedged,six,yield_change_pnl,-0.09000298319881671,-0.22796983963562656
overlay_unhedged,six,funding,0.0444504834944317,0.11258926353104357
overlay_unhedged,six,fx,0.5483376355593936,1.3888922167004023
overlay_unhedged,six,cost,-0.057800000000000004,-0.14640244425934154
overlay_unhedged,six,r_net,0.39480215164721844,1.0
overlay_unhedged,1990s,carry_earned,-0.04607843777294104,-0.32748869903386296
overlay_unhedged,1990s,yield_change_pnl,0.033553248269183496,0.2384696650997977
overlay_unhedged,1990s,funding,0.04392551133043667,0.3121874190025032
overlay_unhedged,1990s,fx,0.11450205327474822,0.8137890578762991
